PE_Name,PE HQ,Total Portfolio companies,Total Spanish Companies,Total Divested companies,Total Spanish Divested Companies,Ticket EBITDA,Ticket deal volume/rev,Sectors,Top Geographies,source_country_tab,Office in Spain (Y/N),Ticket Revenues
Abac Capital,Spain,16,16,8,8,EBITDA <10M,,"Construction, Consumer: Other, Services, Automotive, Chemicals",Spain,Spain_PE,Y,
Alantra Private Equity ,Spain,13,11,53,46,EBITDA 10-30M,,"Industrial Products, Consumer: Foods, Services, Consumer: Other, Chemicals","Spain, Portugal, United Kingdom, Belgium, Brazil",Spain_PE,Y,
Arta Capital,Spain,10,9,12,11,EBITDA 10-30M,,"Consumer: Foods, Services, Consumer: Other, Industrial Products, Manufacturing","Spain, Portugal",Spain_PE,Y,
Asterion Industrial Partners,Spain,20,8,3,3,n.a.,,"Telecoms, energy & utilities and mobility sectors","Spain, Italy, United Kingdom, France, Germany",Spain_PE,Y,
Aurica Capital,Spain,12,11,12,11,EBITDA <10M,,"Chemicals, Software, Services, Industrial Products, Electronics","Spain, United Kingdom",Spain_PE,Y,
Corpfin Capital,Spain,11,11,39,37,EBITDA <10M,,"Industrial Products, Services, Consumer: Retail, Leisure, Transport",Spain,Spain_PE,Y,
Diana Capital,Spain,5,5,9,9,EBITDA <10M,,"Consumer: Retail, Industrial Products, Manufacturing, Automotive, Hardware",Spain,Spain_PE,Y,
Espiga Capital,Spain,7,7,15,15,EBITDA <10M,,"Industrial Products, Manufacturing, Chemicals, Media, Medical",Spain,Spain_PE,Y,
Buenavista Equity Partners,Spain,18,13,38,22,EBITDA <10M,,"Manufacturing, Services, Industrial Products, Leisure, Medical","Spain, Romania, Portugal, Belgium, Bulgaria",Spain_PE,Y,
GPF Capital,Spain,17,16,6,5,EBITDA <10M,,"Services, Consumer: Foods, Leisure, Construction, Consumer: Other",Spain,Spain_PE,Y,
Magnum Capital,Spain,20,20,8,8,EBITDA 10-30M,,"Medical, Services, Agriculture, Construction, Consumer: Foods","Spain, Portugal",Spain_PE,Y,
MCH Private Equity,Spain,21,19,39,35,EBITDA 10-30M,,"Industrial Products, Services, Consumer: Foods, Consumer: Other, Manufacturing","Spain, Portugal, Mexico",Spain_PE,Y,
Meridia Capital Partners,Spain,3,2,15,14,EBITDA <10M,,"Leisure, Software, Consumer: Foods, Real Estate, Consumer: Other","Spain, Portugal, Denmark, Germany, Switzerland",Spain_PE,Y,
Miura Partners,Spain,18,17,23,22,EBITDA 10-30M,,"Services, Industrial Products, Medical, Consumer: Other, Financial Services",Spain,Spain_PE,Y,
Nazca Capital,Spain,18,17,50,50,EBITDA <10M,,"Services, Consumer: Other, Media, Agriculture, Consumer: Foods","Spain, Colombia",Spain_PE,Y,
